support,itemsets
0.5271195500554764,frozenset({'Weather_Fair'})
0.41784061554318963,frozenset({'Wind_Chill(F)_1'})
0.37095293769392784,frozenset({'Part_of_Day_Afternoon (12-17)'})
0.34865376547429666,frozenset({'Temperature(F)_2'})
0.308088907061582,frozenset({'Humidity(%)_0'})
0.3021494178704301,frozenset({'Pressure(in)_2'})
0.2674111791877232,frozenset({'Part_of_Day_Evening (18-23)'})
0.25808347654977226,frozenset({'Pressure(in)_0'})
0.25602840051195885,frozenset({'Temperature(F)_1'})
0.24935206540465832,frozenset({'Wind_Chill(F)_3'})
0.24833411064188649,"frozenset({'Wind_Chill(F)_1', 'Temperature(F)_1'})"
0.23490264476573197,frozenset({'Part_of_Day_Morning (6-11)'})
0.21588520536917896,"frozenset({'Weather_Fair', 'Humidity(%)_0'})"
0.21169412801952428,frozenset({'Wind_Speed(mph)_1'})
0.21013312207577586,frozenset({'Humidity(%)_2'})
0.20043699647975058,"frozenset({'Weather_Fair', 'Part_of_Day_Afternoon (12-17)'})"
0.1988440463488859,frozenset({'Humidity(%)_1'})
0.19753007545216997,frozenset({'Humidity(%)_3'})
0.19433139751559408,frozenset({'Temperature(F)_3'})
0.18513999007600587,frozenset({'Pressure(in)_3'})
0.18118104048606276,frozenset({'Wind_Speed(mph)_2'})
0.1787426342028541,frozenset({'Weekday_Friday'})
0.17780134548916135,frozenset({'Pressure(in)_1'})
0.17152111830210257,frozenset({'December'})
0.17139760077858632,"frozenset({'Weather_Fair', 'Wind_Chill(F)_3'})"
0.16655699162423415,"frozenset({'Pressure(in)_0', 'Weather_Fair'})"
0.16605014385532266,"frozenset({'Humidity(%)_0', 'Part_of_Day_Afternoon (12-17)'})"
0.16579459035839247,"frozenset({'Temperature(F)_2', 'Weather_Fair'})"
0.15994880411611498,frozenset({'Weekday_Thursday'})
0.1581066893257434,frozenset({'Wind_Speed(mph)_3'})
0.15787456156603183,frozenset({'Weekday_Tuesday'})
0.15656697950673915,frozenset({'Weekday_Wednesday'})
0.1531127480732331,frozenset({'Temperature(F)_4'})
0.15216507052211709,"frozenset({'Part_of_Day_Evening (18-23)', 'Weather_Fair'})"
0.1504422140303129,"frozenset({'Weather_Fair', 'Pressure(in)_2'})"
0.14995879199862,frozenset({'Wind_Chill(F)_4'})
0.14479022252320745,frozenset({'Weekday_Monday'})
