antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Weather_Fair'}),0.3692583548831803,0.39941937053422594,0.1419730949785102,0.3844817404969083,0.9626016384299578,-0.005515844693433497,0.975731621594172,-0.05802231943372938
frozenset({'Weather_Fair'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.39941937053422594,0.3692583548831803,0.1419730949785102,0.3554486974145002,0.9626016384299578,-0.005515844693433497,0.9785747737793947,-0.060759142385530464
frozenset({'Part_of_Day_Evening (18-23)'}),frozenset({'Weather_Fair'}),0.27011920744618545,0.39941937053422594,0.11792256471711884,0.4365574956035364,1.092980280399616,0.010031720909759456,1.0659128922286247,0.11655384099287262
frozenset({'Weather_Fair'}),frozenset({'Part_of_Day_Evening (18-23)'}),0.39941937053422594,0.27011920744618545,0.11792256471711884,0.29523496709585384,1.092980280399616,0.010031720909759456,1.0356370683519487,0.14164694241760784
frozenset({'Weather_Fair'}),frozenset({'Part_of_Day_Morning (6-11)'}),0.39941937053422594,0.23561986970977536,0.0825164214339133,0.20659093554613303,0.8767975969115054,-0.011594718610921498,0.9634123991466823,-0.18960339881658267
frozenset({'Part_of_Day_Morning (6-11)'}),frozenset({'Weather_Fair'}),0.23561986970977536,0.39941937053422594,0.0825164214339133,0.35020994424431545,0.8767975969115054,-0.011594718610921498,0.9242687297935307,-0.15528232359344085
frozenset({'Weather_Fair'}),frozenset({'Weekday_Friday'}),0.39941937053422594,0.1733249236369534,0.0685095915590676,0.17152295710504875,0.9896035348287299,-0.0007197403378970957,0.9978249650399388,-0.01719182199953006
frozenset({'Weekday_Friday'}),frozenset({'Weather_Fair'}),0.1733249236369534,0.39941937053422594,0.0685095915590676,0.3952668209597362,0.9896035348287299,-0.0007197403378970957,0.9931332532786112,-0.01254888745612279
frozenset({'Weekday_Friday'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.1733249236369534,0.3692583548831803,0.06828685474351928,0.39398173852107393,1.0669541617974092,0.004285178581085014,1.0407964333905695,0.07590964694053765
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Weekday_Friday'}),0.3692583548831803,0.1733249236369534,0.06828685474351928,0.1849297486176656,1.0669541617974092,0.004285178581085014,1.0142378217841108,0.09949020120534208
